ID,Judul,Tanggal,Waktu,Kategori,Deskripsi
1,"Meeting Proyek Website","2025-08-20","09.00","Pekerjaan","Diskusi progress pembuatan website dengan tim UI/UX."
2,"Mengumpulkan Tugas Basis Data","2025-11-16","23.59","Kuliah","Submit tugas ERD dan normalisasi ke portal kampus."
3,"Belanja Bulanan","2024-11-13","10.10","Pribadi","Belanja kebutuhan dapur dan perlengkapan rumah."
4,"Acara Ulang Tahun Adik","2020-04-25","11.30","Keluarga","Makan malam dan kumpul keluarga di rumah."
5,"Presentasi Mata Kuliah RPL","2024-02-01","08.00","Kuliah","Presentasi projek aplikasi yang sudah dibuat."
6,"Olahraga Pagi","2025-12-11","6.30","Pribadi","Jogging selama 30 menit di sekitar komplek."
7,"Lembur Penyusunan Laporan Bulanan","2026-01-07","20.00","Pekerjaan","Menyelesaikan laporan bulanan untuk diperiksa besok pagi."
8,"Bimbingan Skripsi","2024-03-03","13.00","Kuliah","Konsultasi bab 2 dengan dosen pembimbing."
9,"Menjemput Orang Tua","2027-06-04","16.45","Keluarga","Menjemput orang tua dari bandara."
10,"Design Logo Brand Baru","2027-06-10","14.59","Pekerjaan","Membuat konsep logo untuk klien UKM."
11,"Membersihkan Kamar","2027-06-17","9.30","Pribadi","erapikan lemari, meja, dan vacuum lantai kamar."
12,"Diskusi Kelompok Tugas PBO","2025-11-06","15.00","Kuliah","Membahas class diagram dan pembagian tugas."
